title,url,text,date,title_lower,tagged,verbs,objects,subject,mil_subj
"Why aren't millennials spending? they're poorer than previous generations, fed says",https://www.keranews.org/post/why-arent-millennials-spending-theyre-poorer-previous-generations-fed-says,"Since millennials first started entering the workforce, their spending habits have been blamed for killing off industries ranging from casual restaurant dining to starter houses. However, a new study by the Federal Reserve suggests it might be less about how they are spending their money and more about not having any to spend.

A study published this month by Christopher Kurz, Geng Li, and Daniel J. Vine found millennials are less well off financially than members of earlier generations when they were the same ages, with ""lower earnings, fewer assets and less wealth.""

Their finances were compared to Generation X, baby boomers, the silent generation and the greatest generation.

The researchers examined spending, income, debt, net worth and demographic factors among the generations to determine ""it primarily is the differences in average age and then differences in average income that explain a large and important portion of the consumption wedge between millennials and other cohorts.""

Millennials, which the study defined as those born between 1981 and 1997, with ages ranging from 21 to 37, ""paid a price"" for coming of age during the Great Recession. They had to face historically weak labor demand and unusually tight credit conditions.

Dealing with those financial obstacles probably created ""attitudes toward saving and spending"" that might be ""more permanent for millennials than for members of generations that were more established in their careers and lives at that time,"" the study says.

Despite millennials' much-maligned, unofficial hipster status, the study indicates they're pretty mainstream.

Their spending on motor vehicles -- which is sensitive to economic expansion and contraction, and accounts for about 20 percent of retail sales -- shows millennial households have similar tastes and preferences to older generations, as does their spending on food and housing.

Their consumption habits are similar to their parents' and grandparents' -- millennials just have less money to spend.

The researchers also examined debt between each generation. While the comparisons were ""somewhat mixed,"" researchers said it ""seems fair"" to conclude that millennials have levels of debt about the same as Generation X, and more debt than baby boomers.

The study also noted newer financial obstacles for millennials. Broad economic trends depict a rise in health care expenditures, as well as a rise in college tuition that has outpaced general inflation that previous generations avoided in their young adulthood.

And the generation's higher rates of racial diversity, higher educational attainment and lower rates of marriage? Those are all consistent ""with secular trends in the population and are therefore not the aberrations of a single generation,"" the study said.

Millennials are still fairly young, so ""it remains to be seen whether having reached adulthood during those unfavorable years will have permanent effects on their tastes and preferences,"" the study says.",2018-11-30,"why aren't millennials spending? they're poorer than previous generations, fed says","Why Aren't Millennials Spending? They're Poorer Than Previous Generations, Fed Says","['Are', 'Spending', ""'re"", 'Says']",['Previous Generations'],"['are', 'spending', 'they', 'fed', 'says']",0.0
Is the resilience of millennials underrated?,http://iowapublicradio.org/post/resilience-millennials-underrated,"I'm a member of Generation Y, or the millennial generation. People like me were born in the '80s and early '90s. But I don't like to broadcast that fact. Millennials tend to get a bad rap.

Journalists and commentators love ragging on us. They say we're ill-prepared to deal with life's challenges. And that, as a result, we have higher rates of mental health issues like depression and anxiety.

These ideas have been coming up over and over again for almost a decade now. There's psychologist Jean Twenge, for instance, who in 2006 published a book called Generation Me: Why Today's Young Americans Are More Confident, Assertive, Entitled -- and More Miserable Than Ever Before. ""In past generations, suicide and depression were considered afflictions of middle age,"" she writes. ""But for Generation Me, these problems are a rite of passage through adolescence and young adulthood""

Then there's the Slate article from a couple of years ago, titled ""Why Millennials Can't Grow Up."" The explanation, according to psychotherapist Brooke Donatone: ""Their biggest challenge is conflict negotiation and they often are unable to think for themselves."" Last year, in Vanity Fair, Bret Easton Ellis called us ""Generation Wuss."" Even NPR has asked: Are millennials too narcissistic? Do they stand a chance?

And now we're starting to turn against ourselves. In a recent Telegraph article reporter Rachael Dove, a self-identifying millennial, wrote a piece titled ""Anxiety: the epidemic sweeping through Generation Y.""

My friend Jay and I recently had a good laugh as we read through these articles together. ""Harsh,"" he said. ""But also kind of ridiculous.""

Still, I wondered: Could it be true? Could it be that millennials really are more depressed and anxious than young people from generations past?

""I've definitely heard reports regarding increased levels of psychopathology among millennials,"" says Mitch Prinstein, a psychologist at the University of North Carolina at Chapel Hill. ""But I'm not sure there are data to support that.""

It's true that young adulthood can be a turbulent time -- for folks from any generation, Prinstein says. So young people are more likely than older adults to say they experienced a depressive episode in the past year.

But we can't really compare how depressed millennials are with how it was for our parents and grandparents when they were young.That's because researchers weren't very good at collecting data on on mental illness back in the '60s and '70s, when the baby boomers were in their late teens and 20s. The federal government does have data going back to the early 2000s, and depression rates haven't increased since then.

There are better stats on suicide among young people. Suicide rates for young adults increased through the '70s and '80s, but started dropping off in the late '90s and have continued to decrease. So, it seems young people these days don't have higher rates of suicide than generations past.

So where does this idea that millennials' mental health is declining even come from? Prinstein thinks people get that impression because we milliennials are full of angst. That's not new. But unlike past generations, we like to broadcast our angst.

""Millennials are certainly using social media in a way that we haven't seen with other generations,"" Prinstein says. ""They're not as shy about sharing their anxieties online.""

And we do have a lot of things to stress about, he says, like an uncertain employment future and student loans. But stress doesn't necessarily equate to depression.

""Depression is a biologically and psychologically driven form of mental illness that is remarkably common,"" Prinstein notes, ""but that is not necessarily experienced by everybody who is experiencing distress.""

Still, some, like Joseph Allen, a professor of psychology at the University of Virginia, are concerned. Allen, who specializes in adolescent psychology, says in many cases, parents have worked too hard to make it too easy for their millennial children.

Parents haven't challenged millennials to support themselves, he says, and millennials may find it difficult adjusting to adulthood. ""If you're living in the basement and playing video games because you can't get a job or you haven't been pushed to get a job, that's going to leave you feeling aimless and a bit at sea whether or not it counts as clinical depression in a formal way,"" Allen says.

But again, at this point there isn't any conclusive research to prove that millennials feel especially listless or unfulfilled.

In any case, Gen Y is doing some things right when it comes to mental health, Prinstein says. Young people are generally more comfortable discussing mental health these days, he notes. And that helps reduce stigma so more people who really need mental health care are getting it.

""So I'm not sure if it's fair to characterize millennials as a group as poorly prepared to deal with life,"" Prinstein says. ""They're differently prepared.""",2015-10-12,is the resilience of millennials underrated?,Is The Resilience Of Millennials Underrated?,['Is'],['Millennials'],"['is', 'resilience']",0.0
Colorado company wants to build campus for millennials in downtown joliet,http://www.theherald-news.com/2017/07/03/colorado-company-wants-to-build-campus-for-millennials-in-downtown-joliet/a7g3p70/,"JOLIET - A Colorado company is proposing a downtown campus providing incubator space, housing, a STEM school and even a playing field for Millennial-generation entrepreneurs.

Joliet is considering a yet to be disclosed incentive package for the project that would go to the City Council for a vote on July 18.

The campus would vary in size between 2.7 acres and 4.6 acres depending on whether it was located on the riverfront or on city owned property near the new transportation center under construction, according to preliminary plans from Innovation Pavilion.

Plans include several buildings totalling between 116,000 square feet and 201,000 square feet.

The Joliet campus would be one of the first, if not the first, such campus for the Centennial, Colorado-based company that was formed five years ago.

The project is just being unveiled publicly, although city officials have been meeting with representatives from Innovation Pavilion for months.

The basic idea is to create incubator space where young entrepreneurs would develop business ideas on a campus where they would also live and in an environment where they could socialize without the need for automobiles, Philip Hsiao, director of corporate innovation management at Innovation Pavilion, said.

""The Millennial wants to be able to work and engage with the community in a walkable and bikable environment,"" said Hsiao, calling Joliet ""the perfect location"" because of its proximity to Chicago. ""We want the campus to have access to the metropolitan area, but it will be a stand-alone ecosystem.""

One plan calls for an 11-story residential building overlooking the Des Plaines River. The other proposes four buildings at least three-stories high with 75,000-square-feet of ""Millennial housing. A 65,000-square-foot STEM (science, technology, engineering and mathematics) school would be located nearby.

Innovation Pavilion is looking for Joliet to invest $200,000 in development money with the idea that a campus would be fully built out in two to three years, Hsiao said.

""We want the city to be committed,"" Hsiao said. ""They have to be very serious. It's a very long-term process.""

Joliet officials, including Mayor Bob O'Dekirk, visited the company's Centennial offices in September. and were impressed with the prospects of the campus plan, said Joliet Economic Development Director Steve Jones.

""It's got outrageous potential for multi-use development,"" Jones said.

Jones would not discuss what incentives Joliet is considering for the package. He said the city plans to make the incentive package public for the first time at a July 13 meeting of the city council's Economic Development Committee. The committee's chairman, Councilman Larry Hug, was among those who made the trip to Colorado.

Innovation Pavilion would make a presentation to the city council at its July 17 meeting, and the council would vote at its regular meeting the next day.

Hsiao said Innovation Pavilion wants to develop its concept in ""ring cities"" near major metropolitan areas. The company also has proposals pending in Olathe, Kansas outside Kansas City and Parker, Colorado in the Denver area.

Innovation Pavilion now operates out of one 80,000-square-foot building in Centennial, which provides incubator space for 75 companies, Hsiao said.",2017-07-05,colorado company wants to build campus for millennials in downtown joliet,Colorado company wants to build campus for Millennials in downtown Joliet,"['wants', 'build']","['campus', 'Millennials', 'downtown Joliet']","['company', 'wants']",0.0
Millennials differ from other generations in almost every regard,http://www.13newsnow.com/news/nation-now/millennials-differ-from-other-generations-in-almost-every-regard-heres-the-data/432632264,"CONNECT TWEET LINKEDIN GOOGLE+ PINTEREST

There is nothing new about comments on how ""kids these days"" are different from the generations that came before them. In the case of Millennials, the U.S. Census Bureau has some data to back those observations up.

""Today's young adults look different from prior generations in almost every regard: how much education they have, their work experiences, when they start a family, and even who they live with while growing up,"" says a report from the Census Bureau released Wednesday.

The report looks at changes in social, economic and demographic trends among young American adults, defined as ages 18 to 34, over the past 40 years.

It found they increasingly live at home and delay starting a family. According to the report, that trend reflects a wider shift in attitudes about the importance of work and education over family. For example, more than half of all Americans think marriage and children are not important steps in becoming an adult, while ""more than 9 in 10 Americans believe that finishing school and being gainfully employed are important milestones of adulthood.""

The report's author, Jonathan Vespa, a demographer at the Census Bureau, looked at four ""common milestones of adulthood:"" Getting married, having kids, getting a job and living on your own. He found the percentage of Americans achieving all four of those milestones by age 34 dropped from 45% in 1975 to 24% in 2016.

Vespa also found that while living on your own and holding a job was the fourth most common scenario in 1975, being a ""single worker"" was the second most common scenario by 2016 (a rise from 6% to 23%).

The report also found young women are pulling ahead in employment and wages, while those numbers on are the decline for young men.

Here are some of the report's highlights:

In 1975, 25% of men between 25 and 34 had incomes of less than $30,000 (adjusted for inflation) per year. By 2016, it was 41%. The number of young women ages 25 to 34 in the workforce jumped more than 40% between 1975 and 2016. Those young women saw their median income rise from $23,000 to $29,000 in the same time period, although it remains $11,000 lower than young men. Between 1975 and 2016, the number of young female ""homemakers"" dropped from 43% to 14%. 1 in 3 young Americans lives with a parent or parents. Of those, 1 in 4 does not work or go to school. In 1975, far more young adults lived with a spouse than a parent. By 2016, more young adults lived with their parents than a husband or wife. 41% of young families had a student debt in 2013, up from 17% in 1989 and the amount owed on those loans has almost tripled. Young adults are increasingly putting off children and marriage. Vespa cautioned against drawing broad assumptions about young Americans based on this data. For example, living with their parents may now be the most common living arrangement among young adults, ""but we want to be careful and not say that one experience describes all of the young adults who are living in their parents' home.""

Many assume those young Americans are in the basement playing video games, but most of the more than 8.3 million young people living with their parents are either working or in school. Roughly 25% of those young people are not employed or going to school, but out of that group 28% have a disability and another 21% have a child.

It is also important to note these trends fluctuate among different demographic groups. For example, 37% of black Americans between ages 18 and 34 live at home, compared with 26% of young Asians and 21% of young black Americans live with a spouse or unmarried partner, compared with 44% of whites.

There are also dramatic differences depending on where young Americans live. In many Midwestern states, the increase in young adults living at home has grown far more gradually than in other regions. North Dakota actually had 3.5% fewer young adults living with their parents in 2015 than 2005. Florida, on the other hand, saw that group grow 11% in the same time period.

As the report concludes: ""If one theme describes how adulthood has changed over the last 40 years, it is growing complexity.""

© 2017 USATODAY.COM

CONNECT TWEET LINKEDIN GOOGLE+ PINTEREST",2017-04-20,millennials differ from other generations in almost every regard,Millennials differ from other generations in almost every regard,['differ'],"['other generations', 'almost every regard']","['millennials', 'differ']",1.0
The best definition of a father to millennials -,http://goodmenproject.com/families/definition-of-a-father-millennials-kldg/,"Millennials. You heard about us, right? I am sure that you have probably seen or heard of the term used in articles, on radio or TV. If you were born between 1980 and 1995, then guess what? You are part of the club!

We are the biggest generation in the workforce right now.

There is a good chance that you may be either a millennial or have a millennial kid.

Millennials are facing tough times. There are too many challenges to address in one article, but there are a few that are the most burdensome and worth mentioning here.

-30% of Millennials are still living with their parents

These statistics can feel more stressful to millennials, especially when they do not have a good set of parents to rely on for comfort.

There is no millennial that is without a father. One could define a father in its most basic form as a man who is biologically responsible for a pregnant woman.

Although, we are all too familiar with that definition. Many deadbeat fathers live up to that basic definition easily.

While the definition of a good father does not change much between generations, it does differ in some ways for millennials.

1. A father who understands that telling me to graduate from college to get a secure job is no longer good advice. I understand that it was good advice for the Generation X and Baby Boomer generation, but the times have changed.

Robert Kiyosaki (the international bestselling author of Rich Dad, Poor Dad and a multi-millionaire entrepreneur from the Baby Boomer generation) explained in our interview about how that advice is useless.

2. A father who understands that sending me off to college is not necessarily going to set me up for success. 60% of Americans are not paying back our student loans, which is hard to do when you are unemployed or underemployed.

3. A father who understands that becoming an entrepreneur is not a bad alternative, especially when 40% of the unemployed population are millennials.

4. A father who understands that spending some time abroad or in solitude can actually be beneficial to my overall success.

5. A father who understands that he may not like my friends or inspirations, but he understands that they are learning experiences to extract wisdom for the future.

6. A father who understands that I am not against voting. We do vote! We just do not vote for politicians!!

7. A father who understands that he does not have the right to conform me to his beliefs about religion, politics, sexual orientation, or anything else. His generation may have encouraged his beliefs, but it does not mean that he should not question them.

Our generation is a more socially accepting society. I do not support ideas that divide us, but I support ideas that unite us. It is unity, which influences us to employ thoughts that will create better relationships.

As a millennial, this is how I would define a great father. Do you agree? If you are a millennial or a father of a millennial, I would be happy to read your comments.",2016-06-21,the best definition of a father to millennials -,The Best Definition of a Father to Millennials -,[],['a Father'],['definition'],0.0
An open (financial) letter to millennials,https://medium.com/@Amitch5903/an-open-financial-letter-to-millennials-d52f25fbff1d#.56frmp7eq,"The millennial generation, generally classified as those born between 1980 and 1999, is transforming the economic, social, and political world of the United States.

Individuals in this generation are generally more optimistic, more diverse, and much more expressive (think Social Media) than older generations (US Chamber Foundation).

More from Alex Mitchell:

Building digital products: A handbook for product managers

10 bold predictions for the next 10 Years

The death of thinking

As an individual born right in the middle of this generation, I agree with the findings of this research. However, I want to focus on the many interesting financial characteristics and behaviors of my generation that may have the biggest impact of all these changes on our future.

Financial ""wins"" of the millennial generation

What do millennials do better?

1. Millennials value education

More millennials have a college degree than any other generation of young adults. In 2013, 47% of 25-34 year-olds received a post-secondary degree.

College graduates are able to earn an additional $1 million during their working lives compared to High School graduates. Millennials are investing in their future in this way, which is great news. But are they paying too much? We'll get to that later (White House Millennials Report).

2. Millennials don't buy cars (or even bother getting driver's licenses)

Millennials are about 29% less likely than those in Gen X to purchase a car (USA Streetsblog).

Diving a little deeper, in the chart below, you can see that in 2015, the share of car originations in the 22-35 age bracket was approximately 25% lower than it was during 2003, when the prior generation (Gen X) was in that same age bracket.

This is great news for millennials. While they're missing out on building their credit score through a car loan, they're avoiding taking on (even) more debt. The reason for lower car ownership shouldn't be surprising. The rise of Uber, Lyft, Car2Go, ZipCar, and many other transportation sharing options has made living without a car (in a city at least) possible for the first time.

3. Millennials live at home with their parents

For the first time since 1880, young adults aged 18-34 are more likely to live with a parent than in any other arrangement.

Even more surprisingly, this trend isn't being driven by the lack of employment, but rather the high cost of rent, delayed marriage, and a large increase in the high school education only segment of the generation (Pew Research).

For a generation that has the second-highest debt burden, this is good financial news. The millennial generation members who live at home could theoretically save more of their paycheck and pay down debt faster, right?

Not so fast. It's time for the financial fails of this new generation.

Financial ""fails"" of the millennial generation

What don't Millennials do right?

1. Millennials have little to no savings

23% of younger millennials (18-24) don't have a savings account.

Even of older millennials, the percentage isn't much better at 18%. What's interesting is this trend doesn't appear to be driven by income. For those millennials who make $75-$100k a year, 43% either don't have a savings account or have nothing saved (Millennial Money).

For anyone who's taken a basic math or finance class that covered the principle of compounding interest, you know this lack of savings won't end well for the millennial generation.

Take this simple example as proof:

Susan saves $5k/year from age 25-35 (10 years) Bill saves $5k/year from age 35-65 (30 years) John saves $5k/year from age 25-65 (40 years)

Who saves the most by retirement? Well, that should be pretty easy, it's John.

But by how much?

He will have saved over two times as much as Bill and close to two times as much as Susan by age 65.

Even more remarkable is that Susan, who only saved for 10 years, will have out-saved Bill who tried to play ""catch-up"" with his savings for 30 years! (Business Insider)

Millennials aren't saving today and they aren't going to be able to play catch up later.

A Solution for millennials: Digit; an automatic savings app that analyzes your linked accounts and determines a safe amount to transfer between $5-$50 every few days to a savings account.

2. Millennials pay very high rents

It's an old Financial Adviser rule of thumb that you shouldn't pay more than 30% of your take-home pay for housing. For a millennial earning $60k/year pre-tax, this means that they should spend no more than $1,125/month in rent. But millennials aren't just ignoring this rule, they're destroying it.

In San Francisco, millennials are paying, on average, an absolutely unsustainable 79% of their salary for rent. In Los Angeles, it is 61%. In Boston, 56%. In Seattle, 51% (The Street). It's starting to become more clear exactly why millennials don't have any money to save.

A Solution for millennials: This one is old fashioned. Live with roommates! Either split a 1BR with a significant other or shack up with several roommates in a house. It's the only way to still live in a desirable area of the city (a big want for millennials), while not breaking the bank (at least too badly).

3. Millennials have almost no investments

As we mentioned in the #1 Financial Fail, savings are almost non-existent for my generation. If savings rates are bad for this generation than investing rates are [insert word for bad * infinity].

Nearly 4 in 5 millennials are not investing in the stock market (BusinessWire). While lack of money is a top barrier to investment (41%), there also appears to be a trust boundary, as a large portion of the millennial generation matured during the 2008-2009 financial crisis. Over 1/3 of millennials would actually trust an app with their money more than a traditional investment firm.

Why is this so scary?

Because as we mentioned before, the impact of not saving and not investing in the 25-35 age range can be devastating for retirement. Additionally, long-term investing is one of the only ways that you can grow your net worth consistently above the rate of inflation.

Two Solutions for millennials: Acorns and Robinhood.

Alex Mitchell is the Senior Product Manager, Head of Websites and Identity Products, at Vistaprint.

This piece originally appeared on Medium.",2016-12-14,an open (financial) letter to millennials,An Open (Financial) Letter to Millennials,[],['Millennials'],['letter'],0.0
Fifth of millennials more likely to buy after seeing a video ad,http://www.rapidtvnews.com/2016110945003/fifth-of-millennials-more-likely-to-buy-after-seeing-a-video-ad.html,"Research from video production company Groundbreak Productions has found that 20% of millennials are more likely to purchase a product or service after watching a video advertisement.

The study, which surveyed 1,000 consumers in the UK, also revealed that 42% of consumers like video ads that are informative and 'to the point', and 22% would be more likely to make a purchase after watching this kind of video content.

More than 30% of people surveyed like video ads that tell a story, with 29% favouring those that make them feel nostalgic. About 12% said that they would potentially buy a product or service after watching one of these ads.

Perhaps surprisingly, just 8% of consumers like video ads that have one of their favourite celebrities in them, with only 3% more likely to make a purchase after seeing one of these.

""This research really highlights the importance of brands carefully considering the way they use video to advertise their products or services to their target market,"" said Geoff Brooks, CEO at Groundbreak Productions. ""The fact that millennials' spend is most likely to be influenced by video adverts is good news for those businesses targeting these consumers.""

All of that said, older generations are less receptive to video ads. With only 12% of 45-54-year-olds, 13% of 55-64-year-olds, and only 6% of those aged 65 and over said that they would be more likely to purchase a product or service after watching a video ad.

""For those that have different or more varied target markets these statistics shouldn't be off-putting,"" said Brooks. ""Instead of packing in video advertising altogether, the research suggests that to influence consumer spending brands need to create either snappy and 'to the point' adverts, or invest in storytelling.""

He added: ""As marketers increasingly champion digital platforms over print advertising, consumers are being bombarded with more video content than ever. As a result, for brands to get the best return on investment they need to start paying more attention to what consumers actually want from this kind of marketing and adapt their approach accordingly.""

The new study dovetails with research from Unruly. Millennials are more than twice as likely to share ads they like and 23% more likely to enjoy ads they find relevant but are also the demographic most likely to install ad blockers.",2016-11-09,fifth of millennials more likely to buy after seeing a video ad,Fifth of millennials more likely to buy after seeing a video ad,"['buy', 'seeing']","['millennials', 'a video ad']",['fifth'],0.0
Abenomics has a serious millennials problem,http://www.barrons.com/articles/abenomics-has-a-serious-millennials-problem-1480296218,"An error has occurred and your email has not been sent.

Please try again.

Shinzo Abe, Japan's prime minister, gestures as he speaks during a news conference. Photographer: Kiyoshi Ota/Bloomberg

Weeks rarely get worse for world leaders than the one Shinzo Abe just had.

First, Donald Trump scrapped a trade deal essential to revitalizing Japan's economy, even after Abe scurried to New York to kiss the president-elect's ring. Vladimir Putin made clear he'd been playing Abe with hints Russia might cede some of the disputed Northern Territories. Efforts to cozy up to South Korea's Park Geun-hye are kaput as impeachment beckons. New data showed Abe's much-heralded ploy to end deflation has, four years on, produced zero inflation.

But the real blow to Abenomics was a ManpowerGroup MAN -1.1741906064751482% ManpowerGroup U.S.: NYSE USD86.69 -1.03 -1.1741906064751482% /Date(1480370521129-0600)/ Volume (Delayed 15m) : 1180617 AFTER HOURS USD86.8467 0.1567 0.18075902641596495% Volume (Delayed 15m) : 3237 P/E Ratio 14.188216039279869 Market Cap 5882415395.88501 Dividend Yield 1.9840812089052948% Rev. per Employee 727848 More quote details and news "" MAN in Your Value Your Change Short position survey showing why it flopped - and how much work Tokyo must do to change the narrative. Turns out, Japan's millennials are the ""least positive"" about their future among the biggest economies, even trailing young Greeks by a wide margin. Fewer than 40% of young Japanese see a successful career ahead, while 37% of millennials fully expect to work until the day they die (compared with an average 12% among the 18 countries in the study). By contrast, 18% of Chinese and 15% of Greeks expect to work until their last breath.

These comparisons tell Abe and Bank of Japan Governor Haruhiko Kuroda all they need to know about why Abenomics got so little traction. There's dangerously little confidence in the future, a mindset Abe's policies have done more to entrench than battle.

Abenomics has three parts - monetary easing, fiscal pump-priming and deregulation. We've seen an explosion of easing, and still deflation persists. We've seen a construction boom ahead of the Tokyo 2020 Olympics, and wages still stagnate. The problem: phase three, the one most vital to fattening paychecks, competitiveness and job growth, has barely begun. Modest steps to tighten corporate governance, empower women and poke vested interests are too little-little-too-late for aging, rigid Japan. Abe fanned cynicism by promising economically insecure twentysomethings the world, and producing only hints of that vision.

"" It should worry executives at Nomura, Sony and Toyota that Japanese are far less happy with their today and what tomorrow may offer than Greeks suffering a Depression-like funk. ""

As Kuroda's predecessor, University of Chicago disciple Masaaki Shirakawa, told Abe's team in 2012, Japan's deflation is about demographics, not monetary stimulus. The nearly 30% of Japanese over 65 aren't buying homes, cars, computers, designer clothing or lavishing cash on pricy travel, fancy eateries or impulse buying. But, as data show, neither are millennials. They're not consuming to the extent needed for companies to feel comfortable hiking wages or hiring.

People tend to get the governments they deserve, as the old saw goes. In Japan, it's also troubling how little they expect of companies and managers for whom they work. ManpowerGroup finds, for example, that only 55% of Japanese expect to work with ""great"" people, compared with, say, 91% of Brazilian millennials. It should worry executives at Nomura, Sony 6758.TO 0.23728813559322035% Sony Corp. ADR U.S.: NYSE USD29.57 0.07 0.23728813559322035% /Date(1480370521371-0600)/ Volume (Delayed 15m) : 467630 AFTER HOURS USD29.58 0.01 0.033818058843422386% Volume (Delayed 15m) : 588 P/E Ratio 84.6065808297568 Market Cap 37204480070.9438 Dividend Yield N/A Rev. per Employee 547011 More quote details and news "" 6758.TO in Your Value Your Change Short position and Toyota 7203.TO -0.1273344651952462% Toyota Motor Corp. ADR U.S.: NYSE USD117.65 -0.15 -0.1273344651952462% /Date(1480370580071-0600)/ Volume (Delayed 15m) : 174713 AFTER HOURS USD117.65 % Volume (Delayed 15m) : 2 P/E Ratio 10.217019391928858 Market Cap 197600461050.272 Dividend Yield N/A Rev. per Employee 703572 More quote details and news "" 7203.TO in Your Value Your Change Short position that Japanese are far less happy with their today and what tomorrow may offer than Greeks suffering a Depression-like funk.

The answer is taking the weights off the economy's ankles. Abe squandered nearly four years trying to tweak the constitution, globetrotting and joining a Trans-Pacific Partnership that's more about making Washington happy than raising living standards (one Trump just killed). He expended virtually no energy increasing innovation, cultivating entrepreneurship, modernizing education, reducing red tape, opening Japan Inc. to foreign influence, leveling the playing field for women, importing international talent or taking on vested interests.

For example, here's what passes for notable ""reform"" in Abe's Japan: his Liberal Democratic Party asking farm cooperatives to disclose any plans they might, maybe, perhaps have to increase efficiency. No word yet on addressing those 778% rice tariffs. With the demise of TPP, Abe will have to display a level of political will he hasn't shown to upset his party's biggest support bases. More likely, he'll just prod Kuroda to increase the money supply again.

That won't help millennials any more than it'll cheer the over-65 set. Only headline-grabbing steps to restore Japan Inc.'s dynamism and some game-changing inventions that convince young millennials the future is bright can do that. Abe sprinting to Trump Tower to pledge allegiance to the next U.S. leader smacked more of desperation than visionary leadership. Abe would get far more mileage out of ensuring tomorrow's leaders that the national pension system will survive (cuts are being mulled as we speak) amid surging public debt load.

Abe must persuade young Japanese they won't have to pay to care for elderly parents with dead-end jobs that pay less and less. He must loosen labor markets so workers are more innovative, productive and less stressed. And I'd scale back on talk of robots saving Japan; twentysomethings will just save more and spend less if they worry technology will take their jobs.

Until Abenomics wins over millennials, they won't make big-ticket purchases, while fewer get married or have kids. That means uglier demographics, falling further behind China, increased gloom and, yes, more deflation.

Email: william.pesek@barrons.com

@WilliamPesek

Comments? E-mail us at editors@barrons.com

Like Barron's Asia on Facebook

Follow Barron's Asia on Twitter",2016-11-29,abenomics has a serious millennials problem,Abenomics Has a Serious Millennials Problem,['Has'],['a Serious Millennials Problem'],"['abenomics', 'has']",0.0
Legal & general in £60 million bid to woo women and millennials,https://www.standard.co.uk/business/legal-general-in-60-million-bid-to-woo-women-and-millennials-a3868701.html,"Legal & General is targeting millennials and women in a £60 million ramp-up of its personal investment business.

The insurer rolled out an eye-catching ad campaign at its capital markets day on Wednesday to tap into issues important to young people, including gender diversity and the environment.

L&G's Helena Morrissey, in charge of building up the personal investment arm, said there is a 12 million-strong market in their twenties and thirties who could be attracted by the firm.

L&G will spend £60 million over three years building its digital arm and will slash prices on funds to take on the likes of Hargreaves Lansdown and Nutmeg.

But some were sceptical. ""L&G is late to the party and the focus on a mass-market offering with an emphasis on the young and targeted at women may be a long haul,"" said analyst Autonomous.",2018-06-21,legal & general in £60 million bid to woo women and millennials,Legal & General in £60 million bid to woo women and millennials,['woo'],"['£60 million bid', 'women']",['legal'],0.0
"Blue monday? maybe not, but millennials dread going back to work",http://www.smh.com.au/national/blue-monday-formula-fake-but-its-true-that-millennials-dread-going-back-to-work-20170114-gtrhf1.html,"For many Australians, Monday will be the first day back at work. Come 9am or thereabouts tomorrow, the relaxing Christmas break will be but a distant memory, replaced by the daily grind of the workplace. More than half of Australians are dreading the thought of going back to the office, and the feeling is more intense the younger you are.

According to a Telstra survey, almost three in four 18 to 24-year-olds are dreading going back to work in the New Year. But that sentiment appears to decline with age - among working baby boomers, less than four in 10 will be dragging their feet come the first day back:

Those over 65 are practically raring to get back into it, and returning to work was a source of dread for only one in five.

Deakin University organisational psychology professor Michael Leiter said younger people were dreading going back to work because they were ""on the short end of the stick"" when it came to meaningful jobs.

""You don't start off in the plumb job too often. This is the gap between what your ideal work world and what your reality is,"" he said.

Advertisement

""Millennials have had a more idealistic perspective of their dream career sold to them,"" he said, ""I think universities are somewhat guilty of this.""

""For generations before, it was probably more cut and dried and practical. We've primed folks to be more impatient, that you get right to that meaningful job straight away.""

Sydney psychologist Jacqui Manning adds that people's unhappiness at work can be highlighted when they have a few weeks off.

""I try to brainstorm with clients all the time with how they can tailor their work days to increase their energy and positivity,"" she said. ""I'm often talking to clients about whether there's a possibility to work from home, even if just for a day or two per fortnight.""

The survey found younger people were also more likely to be thinking about changing jobs and were yearning for more workplace flexibility.

Telstra home and business projects executive director Stuart Bird said advances in internet technology meant it was easier to work from home. ""Kick-starting the conversation with your manager is often all it takes to get the ball rolling,"" he said.

With so many people reluctant to ease back into their regular routines, the first day back at work after Christmas holidays has even been given a name - ""Blue Monday"".

Blue Monday falls on the third Monday in January and is claimed to be the most dreaded and depressing day of the year, with a mathematical formula to prove it.

The date has been gaining in popularity over the past decade, and Google searches for ""Blue Monday"" surge each January.

But while it is probably true that a good proportion of people feel down about going back to work, the idea that Blue Monday has a basis in science is nonsense.

The date was popularised by a PR agency in England to advertise a now defunct TV travel channel. They created a bogus mathematical formula and paid a university maths tutor to put his name to it so media organisations would think it was real. From there this piece of fake news was picked up went viral, and Blue Monday has stuck ever since.

The Blue Monday formula. W = weather, T = time since Christmas, D = debt. It looks clever, but makes no mathematical sense. Photo: Supplied",2017-01-14,"blue monday? maybe not, but millennials dread going back to work","Blue Monday? Maybe not, but millennials dread going back to work","['dread', 'going']",['work'],"['monday', 'not', 'millennials', 'dread']",1.0
